# Cosmological Table
# w0=-1.0, wa=0.0
# H0=72.0, Omega_m=0.26, Omega_l=0.74, Omega_k=0
# Columns: t, tau0, tau1, a
1.2922839312928442e-08,1.2922839540870282e-08,1.292283943219825e-08,0.9999999970771606
1.2948752475335618e-08,1.2948752676616533e-08,1.2948752606259924e-08,0.9999999970512474
1.297471758822352e-08,1.2974717773899728e-08,1.2974717748547538e-08,0.9999999970252823
1.3000734786043304e-08,1.3000734936914176e-08,1.3000734926506607e-08,0.9999999969992651
1.3026804033231528e-08,1.3026804270063146e-08,1.3026804177600775e-08,0.9999999969731959
1.3052925724730343e-08,1.3052925877959181e-08,1.3052925867877131e-08,0.9999999969470742
1.3079099639988185e-08,1.3079099865424676e-08,1.3079099852914015e-08,0.9999999969209002
1.3105326168561628e-08,1.3105326337492183e-08,1.3105326316683886e-08,0.9999999968946738
1.3131605201931867e-08,1.313160539940488e-08,1.313160536624349e-08,0.9999999968683947
1.3157936980467876e-08,1.3157937156616997e-08,1.3157937051068646e-08,0.999999996842063
1.3184321466784239e-08,1.3184321714794146e-08,1.3184321670778097e-08,0.9999999968156784
1.3210758989850986e-08,1.3210759179813906e-08,1.3210759127379544e-08,0.9999999967892409
1.323724947703564e-08,1.323724965776613e-08,1.3237249640342123e-08,0.9999999967627504
1.3263793026272468e-08,1.326379325495341e-08,1.3263793202548675e-08,0.9999999967362069
1.3290389891602056e-08,1.3290390077891524e-08,1.3290390048284348e-08,0.99999999670961
1.3317040008313268e-08,1.3317040233309753e-08,1.331704016486927e-08,0.9999999966829599
1.334374363314955e-08,1.334374382815148e-08,1.3343743796835354e-08,0.9999999966562563
1.3370500819478905e-08,1.3370500969574503e-08,1.3370500983524366e-08,0.9999999966294991
1.339731154143047e-08,1.3397311764951495e-08,1.3397311667811511e-08,0.9999999966026883
1.3424176189422497e-08,1.3424176321870463e-08,1.3424176381614002e-08,0.9999999965758237
1.345109453652525e-08,1.3451094748135069e-08,1.3451094696986127e-08,0.9999999965489054
1.347806699589804e-08,1.3478067151765227e-08,1.3478067116936501e-08,0.9999999965219329
1.3505093506251958e-08,1.3505093640997428e-08,1.3505093594341324e-08,0.9999999964949065
1.3532174124600041e-08,1.35321743242852e-08,1.3532174255577714e-08,0.9999999964678258
1.3559309111766715e-08,1.3559309310299573e-08,1.3559309237675973e-08,0.9999999964406908
1.3586498601908317e-08,1.3586498707929403e-08,1.3586498691749506e-08,0.9999999964135013
1.3613742446483369e-08,1.3613742626281974e-08,1.3613742617030773e-08,0.9999999963862575
1.3641040975082654e-08,1.3641041174683328e-08,1.3641041101557461e-08,0.999999996358959
1.3668394265526049e-08,1.3668394462678728e-08,1.3668394413594035e-08,0.9999999963316056
1.369580247637991e-08,1.3695802600033131e-08,1.3695802587140188e-08,0.9999999963041974
1.3723265481563268e-08,1.3723265696731507e-08,1.3723265656393078e-08,0.9999999962767344
1.3750783752431226e-08,1.375078386297946e-08,1.3750783884439865e-08,0.9999999962492162
1.3778356958375429e-08,1.3778357209203548e-08,1.3778357093486577e-08,0.9999999962216429
1.3805985717711485e-08,1.3805985846051762e-08,1.3805985769035705e-08,0.9999999961940143
1.3833669779675266e-08,1.3833669884393991e-08,1.3833669877294899e-08,0.9999999961663302
1.3861409188347916e-08,1.3861409435322361e-08,1.3861409375073896e-08,0.9999999961385907
1.3889204433352927e-08,1.3889204610151849e-08,1.3889204561101799e-08,0.9999999961107955
1.3917055376810768e-08,1.3917055520420605e-08,1.3917055521631742e-08,0.9999999960829445
1.394496203266815e-08,1.394496227789045e-08,1.3944962226089124e-08,0.9999999960550379
1.3972924829334908e-08,1.3972924994547333e-08,1.3972924968700849e-08,0.9999999960270751
1.4000943600666055e-08,1.4000943782601673e-08,1.4000943769864263e-08,0.9999999959990563
1.4029018564753284e-08,1.4029018754488986e-08,1.4029018712089731e-08,0.9999999959709813
1.4057149881547787e-08,1.4057150022870215e-08,1.4057150044867527e-08,0.99999999594285
1.4085337525673082e-08,1.4085337700632214e-08,1.408533774516293e-08,0.9999999959146624
1.4113581685658156e-08,1.4113581900888197e-08,1.4113581893342029e-08,0.9999999958864182
1.4141882559893571e-08,1.4141882736978227e-08,1.414188267927325e-08,0.9999999958581174
1.4170240230917994e-08,1.4170240322469552e-08,1.4170240349858635e-08,0.9999999958297597
1.4198654595852407e-08,1.419865477115723e-08,1.4198654738351888e-08,0.9999999958013454
1.4227126056410266e-08,1.422712619706448e-08,1.4227126125478e-08,0.9999999957728739
1.4255654534133842e-08,1.4255654714443157e-08,1.4255654697201161e-08,0.9999999957443454
1.4284240222860443e-08,1.4284240437774251e-08,1.428424034852648e-08,0.9999999957157597
1.4312883309452977e-08,1.431288348176822e-08,1.4312883437225516e-08,0.9999999956871166
1.434158375312218e-08,1.434158396136563e-08,1.4341583940716065e-08,0.9999999956584161
1.4370341738608907e-08,1.4370341991737498e-08,1.4370341941344102e-08,0.9999999956296581
1.4399157561218376e-08,1.4399157688285787e-08,1.4399157668298885e-08,0.9999999956008424
1.4428031013423957e-08,1.4428031166643896e-08,1.4428031139781022e-08,0.999999995571969
1.445696236746934e-08,1.4456962542677e-08,1.4456962549720576e-08,0.9999999955430375
1.4485951734494998e-08,1.4485951932482705e-08,1.4485951862761953e-08,0.9999999955140482
1.4514999314067695e-08,1.4514999452391384e-08,1.4514999442965952e-08,0.9999999954850006
1.4544105050243332e-08,1.4544105218966682e-08,1.4544105178802039e-08,0.9999999954558949
1.4573269127800492e-08,1.4573269349006003e-08,1.4573269317472366e-08,0.9999999954267308
1.460249175957561e-08,1.4602491959540874e-08,1.4602491919623811e-08,0.9999999953975082
1.4631773014639466e-08,1.463177316783758e-08,1.4631773126232925e-08,0.9999999953682269
1.4661112871221373e-08,1.4661113091397524e-08,1.4661113030487215e-08,0.9999999953388871
1.469051165720498e-08,1.469051184795772e-08,1.469051181258931e-08,0.9999999953094882
1.4719969377621377e-08,1.4719969555491308e-08,1.4719969498498785e-08,0.9999999952800306
1.474948619403963e-08,1.4749486332207895e-08,1.4749486298113595e-08,0.9999999952505138
1.4779062117185287e-08,1.4779062296554213e-08,1.4779062215375672e-08,0.9999999952209379
1.4808697393984747e-08,1.4808697567214483e-08,1.4808697526914816e-08,0.9999999951913026
1.4838392098308756e-08,1.4838392263110906e-08,1.4838392221854348e-08,0.9999999951616079
1.4868146359473897e-08,1.4868146503404184e-08,1.4868146538333847e-08,0.9999999951318536
