# Cosmological Table
# w0=-0.8, wa=-0.8
# H0=72.0, Omega_m=0.26, Omega_l=0.74, Omega_k=0
# Columns: t, tau0, tau1, a
1.2691942478566412e-08,1.2691942499139989e-08,1.2691942655854579e-08,0.9999999973080574
1.2717392620726375e-08,1.271739263553019e-08,1.271739273467538e-08,0.9999999972826074
1.2742893733415115e-08,1.2742893805041813e-08,1.2742893912120042e-08,0.9999999972571062
1.2768446076975024e-08,1.2768446110007433e-08,1.2768446219130084e-08,0.9999999972315539
1.279404964990522e-08,1.2794049652964917e-08,1.2794049682985417e-08,0.9999999972059503
1.281970452523022e-08,1.2819704536657702e-08,1.2819704656973547e-08,0.9999999971802954
1.284541080319988e-08,1.284541086403526e-08,1.2845410995202009e-08,0.9999999971545891
1.2871168662638547e-08,1.2871168738253517e-08,1.2871168835978468e-08,0.9999999971288313
1.2896978135250926e-08,1.2896978262675177e-08,1.289697831838701e-08,0.9999999971030218
1.2922839423950873e-08,1.2922839540870282e-08,1.2922839615767276e-08,0.9999999970771605
1.2948752586357811e-08,1.2948752676616533e-08,1.2948752717282342e-08,0.9999999970512473
1.2974717699245858e-08,1.2974717773899728e-08,1.2974717859569795e-08,0.9999999970252822
1.300073489706565e-08,1.3000734936914176e-08,1.3000735037528865e-08,0.999999996999265
1.3026804144253753e-08,1.3026804270063146e-08,1.3026804288623049e-08,0.9999999969731957
1.3052925835752828e-08,1.3052925877959181e-08,1.30529259788996e-08,0.9999999969470741
1.3079099751010289e-08,1.3079099865424676e-08,1.3079099963936444e-08,0.9999999969209001
1.3105326283964603e-08,1.3105326337492183e-08,1.3105326427706048e-08,0.9999999968946737
1.3131605410524293e-08,1.313160539940488e-08,1.3131605511210707e-08,0.9999999968683946
1.3157937114015456e-08,1.3157937156616997e-08,1.3157937253604312e-08,0.9999999968420629
1.3184321657228756e-08,1.3184321714794146e-08,1.3184321786878079e-08,0.9999999968156783
1.3210759141549293e-08,1.3210759179813906e-08,1.3210759340053299e-08,0.9999999967892408
1.3237249649327136e-08,1.323724965776613e-08,1.3237249775191171e-08,0.9999999967627503
1.326379319612626e-08,1.326379325495341e-08,1.3263793313571007e-08,0.9999999967362068
1.3290390045735338e-08,1.3290390077891524e-08,1.32903901593067e-08,0.9999999967096099
1.3317040119335313e-08,1.3317040233309753e-08,1.3317040275891421e-08,0.9999999966829598
1.3343743744171871e-08,1.334374382815148e-08,1.3343743907857896e-08,0.9999999966562562
1.3370500930501381e-08,1.3370500969574503e-08,1.3370501109527042e-08,0.999999996629499
1.3397311756697638e-08,1.3397311764951495e-08,1.339731188930616e-08,0.9999999966026882
1.3424176189422497e-08,1.3424176321870463e-08,1.3424176395521219e-08,0.9999999965758237
1.3451094647547684e-08,1.3451094748135069e-08,1.3451094808008168e-08,0.9999999965489053
1.3478067106920547e-08,1.3478067151765227e-08,1.3478067227958887e-08,0.9999999965219328
1.3505093617273934e-08,1.3505093640997428e-08,1.3505093759127725e-08,0.9999999964949063
1.353217423562236e-08,1.35321743242852e-08,1.3532174438299886e-08,0.9999999964678257
1.3559309222789264e-08,1.3559309310299573e-08,1.3559309348698163e-08,0.9999999964406907
1.3586498601908317e-08,1.3586498707929403e-08,1.3586498691749506e-08,0.9999999964135013
1.3613742557505557e-08,1.3613742626281974e-08,1.3613742728053286e-08,0.9999999963862574
